Code,Description1,Description2,Last_Updated
G9195002004,with antidepressant medication during the entire 180 day (6 months),,09-09-2025
G9195003004,continuation treatment phase,,09-09-2025
G9196001003,Documentation of medical reason(s) for not ordering a first or second           Med reason for no ceph      0,Med reason for no ceph      00      9,09-09-2025
G9196002004,"generation cephalosporin for antimicrobial prophylaxis (e.g., patients enrolled",,09-09-2025
G9196003004,"in clinical trials, patients with documented infection prior to surgical",,09-09-2025
G9196004004,"procedure of interest, patients who were receiving antibiotics more than 24",,09-09-2025
G9196005004,hours prior to surgery [except colon surgery patients taking oral prophylactic,,09-09-2025
G9196006004,"antibiotics], patients who were receiving antibiotics within 24 hours prior to",,09-09-2025
G9196007004,"arrival [except colon surgery patients taking oral prophylactic antibiotics],",,09-09-2025
G9196008004,other medical reason(s)),,09-09-2025
G9197001003,Documentation of order for first or second generation cephalosporin for         Order for ceph              0,Order for ceph              00      9,09-09-2025
G9197002004,antimicrobial prophylaxis,,09-09-2025
G9198001003,Order for first or second generation cephalosporin for antimicrobial            No order for ceph no reason 0,No order for ceph no reason 00      9,09-09-2025
G9198002004,"prophylaxis was not documented, reason not given",,09-09-2025
G9199001003,Venous thromboembolism (vte) prophylaxis not administered the day of or the day Doc reason for no vte       0,Doc reason for no vte       00      9,09-09-2025
G9199002004,"after hospital admission for documented reasons (eg, patient is ambulatory,",,09-09-2025
G9199003004,"patient expired during inpatient stay, patient already on warfarin or another",,09-09-2025
G9199004004,"anticoagulant, other medical reason(s) or eg, patient left against medical",,09-09-2025
G9199005004,"advice, other patient reason(s))",,09-09-2025
G9200001003,Venous thromboembolism (vte) prophylaxis was not administered the day of or the No reason for no vte        0,No reason for no vte        00      9,09-09-2025
G9200002004,"day after hospital admission, reason not given",,09-09-2025
G9201001003,Venous thromboembolism (vte) prophylaxis administered the day of or the day     Vte given upon admission    0,Vte given upon admission    00      9,09-09-2025
G9201002004,after hospital admission,,09-09-2025
G9202001003,Patients with a positive hepatitis c antibody test                              Hep c aby pos               0,Hep c aby pos               00      9,09-09-2025
G9203001003,Rna testing for hepatitis c documented as performed within 12 months prior to   Hep c rna done prior to med 0,Hep c rna done prior to med 00      9,09-09-2025
G9203002004,initiation of antiviral treatment for hepatitis c,,09-09-2025
G9204001003,Rna testing for hepatitis c was not documented as performed within 12 months    No reason for no hep c rna  0,No reason for no hep c rna  00      9,09-09-2025
G9204002004,"prior to initiation of antiviral treatment for hepatitis c, reason not given",,09-09-2025
G9205001003,Patient starting antiviral treatmentfor hepatitis c during the measurement      Hep c antiviral started     0,Hep c antiviral started     00      9,09-09-2025
G9205002004,period,,09-09-2025
G9206001003,Patient starting antiviral treatment for hepatitis c during the measurement     Hep c therapy started       0,Hep c therapy started       00      9,09-09-2025
G9206002004,period,,09-09-2025
G9207001003,Hepatitis c genotype testing documented as performed within 12 months prior to  Hep c genotype prior to med 0,Hep c genotype prior to med 00      9,09-09-2025
G9207002004,initiation of antiviral treatment for hepatitis c,,09-09-2025
G9208001003,Hepatitis c genotype testing was not documented as performed within 12 months   No reason for no hep c geno 0,No reason for no hep c geno 00      9,09-09-2025
G9208002004,"prior to initiation of antiviral treatment for hepatitis c, reason not given",,09-09-2025
G9209001003,Hepatitis c quantitative rna testing documented as performed between 4-12 weeks Hep c rna 4to12 wk after med0,Hep c rna 4to12 wk after med00      9,09-09-2025
G9209002004,after the initiation of antiviral treatment,,09-09-2025
G9210001003,Hepatitis c quantitative rna testing not performed between 4-12 weeks after the No hepc rna after med docrsn0,No hepc rna after med docrsn00      9,09-09-2025
G9210002004,"initiation of antiviral treatment for documented reason(s) (e.g., patients",,09-09-2025
G9210003004,"whose treatment was discontinued during the testing period prior to testing,",,09-09-2025
G9210004004,"other medical reasons, patient declined, other patient reasons)",,09-09-2025
G9211001003,Hepatitis c quantitative rna testing was not documented as performed between    No hepc rna after med no rsn0,No hepc rna after med no rsn00      9,09-09-2025
G9211002004,"4-12 weeks after the initiation of antiviral treatment, reason not given",,09-09-2025
G9212001003,Dsm-ivtm criteria for major depressive disorder documented at the initial       Doc of dsm-iv init eval     0,Doc of dsm-iv init eval     00      9,09-09-2025
G9212002004,evaluation,,09-09-2025
G9213001003,Dsm-iv-tr criteria for major depressive disorder not documented at the initial  No doc of dsm-iv            0,No doc of dsm-iv            00      9,09-09-2025
G9213002004,"evaluation, reason not otherwise specified",,09-09-2025
G9214001003,Cd4+ cell count or cd4+ cell percentage results documented                      Cd4 count documented        0,Cd4 count documented        00      9,09-09-2025
G9215001003,"Cd4+ cell count or percentage not documented as performed, reason not given     No cd4 count no reason      0",No cd4 count no reason      00      9,09-09-2025
G9216001003,"Pcp prophylaxis was not prescribed at time of diagnosis of hiv, reason not givenNo pcp proph at dx no reason0",nNo pcp proph at dx no reason00      9,09-09-2025
G9217001003,Pcp prophylaxis was not prescribed within 3 months of low cd4+ cell count below No pcp proph low cd4 norsn  0,No pcp proph low cd4 norsn  00      9,09-09-2025
G9217002004,"200 cells/mm3, reason not given",,09-09-2025
G9218001003,Pcp prophylaxis was not prescribed within 3 months oflow cd4+ cell count below  No pcp prop low at cd4 norsn0,No pcp prop low at cd4 norsn00      9,09-09-2025
G9218002004,"500 cells/mm3 or a cd4 percentage below 15%, reason not given",,09-09-2025
G9219001003,Pneumocystis jiroveci pneumonia prophylaxis not prescribed within 3 months of   No oder pjp for med reason  0,No oder pjp for med reason  00      9,09-09-2025
G9219002004,"low cd4+ cell count below 200 cells/mm3 for medical reason (i.e., patient's",,09-09-2025
G9219003004,cd4+ cell count above threshold within 3 months after cd4+ cell count below,,09-09-2025
G9219004004,"threshold, indicating that the patient's cd4+ levels are within an acceptable",,09-09-2025
G9219005004,range and the patient does not require pcp prophylaxis),,09-09-2025
G9220001003,Pneumocystis jiroveci pneumonia prophylaxis not prescribed within 3 months of   No order for pjp for medrsn 0,No order for pjp for medrsn 00      9,09-09-2025
G9220002004,low cd4+ cell count below 500 cells/mm3 or a cd4 percentage below 15% for,,09-09-2025
G9220003004,"medical reason (i.e., patient's cd4+ cell count above threshold within 3 months",,09-09-2025
G9220004004,"after cd4+ cell count below threshold, indicating that the patient's cd4+",,09-09-2025
G9220005004,levels are within an acceptable range and the patient does not require pcp,,09-09-2025
G9220006004,prophylaxis),,09-09-2025
G9221001003,Pneumocystis jiroveci pneumonia prophlaxis prescribed                           Pjp proph prescribed        0,Pjp proph prescribed        00      9,09-09-2025
G9222001003,Pneumocystis jiroveci pneumonia prophylaxis prescribed wthin 3 months of low    Pjp proph ordered low cd4   0,Pjp proph ordered low cd4   00      9,09-09-2025
G9222002004,cd4+ cell count below 200 cells/mm3,,09-09-2025
G9223001003,Pneumocystis jiroveci pneumonia prophylaxis prescribed within 3 months of low   Pjp proph ordered cd4 low   0,Pjp proph ordered cd4 low   00      9,09-09-2025
G9223002004,cd4+ cell count below 500 cells/mm3 or a cd4 percentage below 15%,,09-09-2025
G9224001003,"Documentation of medical reason for not performing foot exam (e.g., patient     Medrsn no foot exam         0",Medrsn no foot exam         00      9,09-09-2025
G9224002004,with bilateral foot/leg amputation),,09-09-2025
G9225001003,"Foot exam was not performed, reason not given                                   Norsn no foot exam          0",Norsn no foot exam          00      9,09-09-2025
G9226001003,"Foot examination performed (includes examination through visual inspection,     3 comp foot exam completed  0",3 comp foot exam completed  00      9,09-09-2025
G9226002004,sensory exam with 10-g monofilament plus testing any one of the following:,,09-09-2025
G9226003004,"vibration using 128-hz tuning fork, pinprick sensation, ankle reflexes, or",,09-09-2025
G9226004004,"vibration perception threshold, and pulse exam; report when all of the 3",,09-09-2025
G9226005004,components are completed),,09-09-2025
G9227001003,"Functional outcome assessment documented, care plan not documented,             Foa doc, care plan not doc  0","Foa doc, care plan not doc  00      9",09-09-2025
G9227002004,documentation the patient is not eligible for a care plan at the time of the,,09-09-2025
G9227003004,encounter,,09-09-2025
G9228001003,"Chlamydia, gonorrhea and syphilis screening results documented (report when     Gc chl syp documented       0",Gc chl syp documented       00      9,09-09-2025
G9228002004,results are present for all of the 3 screenings),,09-09-2025
G9229001003,"Chlamydia, gonorrhea, and syphilis screening results not documented (patient    Ptrsn no gc chl syp test    0",Ptrsn no gc chl syp test    00      9,09-09-2025
G9229002004,refusal is the only allowed exception),,09-09-2025
G9230001003,"Chlamydia, gonorrhea, and syphilis not screened, reason not given               Norsn for gc chl syp test   0",Norsn for gc chl syp test   00      9,09-09-2025
G9231001003,"Documentation of end stage renal disease (esrd), dialysis, renal transplant     Doc esrd dia trans preg     0",Doc esrd dia trans preg     00      9,09-09-2025
G9231002004,before or during the measurement period or pregnancy during the measurement,,09-09-2025
G9231003004,period,,09-09-2025
G9232001003,Clinician treating major depressive disorder did not communicate to clinician   Ptrsn no comm comorbid      0,Ptrsn no comm comorbid      00      9,09-09-2025
G9232002004,"treating comorbid condition for specified patient reason (e.g., patient is",,09-09-2025
G9232003004,unable to communicate the diagnosis of a comorbid condition; the patient is,,09-09-2025
G9232004004,unwilling to communicate the diagnosis of a comorbid condition; or the patient,,09-09-2025
G9232005004,"is unaware of the comorbid condition, or any other specified patient reason)",,09-09-2025
G9233001003,All quality actions for the applicable measures in the total knee replacement   Tkr composite               0,Tkr composite               00      9,09-09-2025
G9233002004,measures group have been performed for this patient,,09-09-2025
G9234001003,I intend to report the total knee replacement measures group                    Tkr intent                  0,Tkr intent                  00      9,09-09-2025
G9235001003,All quality actions for the applicable measures in the general surgery measures Gs mg composite             0,Gs mg composite             00      9,09-09-2025
G9235002004,group have been performed for this patient,,09-09-2025
G9236001003,All quality actions for the applicable measures in the optimizing patient       Op rad mg composite         0,Op rad mg composite         00      9,09-09-2025
G9236002004,exposure to ionizing radiation measures group have been performed for this,,09-09-2025
G9236003004,patient,,09-09-2025
G9237001003,I intend to report the general surgery measures group                           Gs mg intent                0,Gs mg intent                00      9,09-09-2025
G9238001003,I intend to report the optimizing patient exposure to ionizing radiation        Op rad mg intent            0,Op rad mg intent            00      9,09-09-2025
G9238002004,measures group,,09-09-2025
G9239001003,Documentation of reasons for patient initiating maintenance hemodialysis with a Doc rsn hemod & cath acc    0,Doc rsn hemod & cath acc    00      9,09-09-2025
G9239002004,"catheter as the mode of vascular access (e.g., patient has a maturing",,09-09-2025
G9239003004,"arteriovenous fistula (avf)/arteriovenous graft (avg), time-limited trial of",,09-09-2025
G9239004004,"hemodialysis, other medical reasons, patient declined avf/avg, other patient",,09-09-2025
G9239005004,"reasons, patient followed by reporting nephrologist for fewer than 90 days,",,09-09-2025
G9239006004,other system reasons),,09-09-2025
G9240001003,Patient whose mode of vascular access is a catheter at the time maintenance     Doc pt w cath maint dia     0,Doc pt w cath maint dia     00      9,09-09-2025
G9240002004,hemodialysis is initiated,,09-09-2025
G9241001003,Patient whose mode of vascular access is not a catheter at the time maintenance Doc pt w out cath maint dia 0,Doc pt w out cath maint dia 00      9,09-09-2025
G9241002004,hemodialysis is initiated,,09-09-2025
G9242001003,Documentation of viral load equal to or greater than 200 copies/ml or viral     Doc viral load >=200        0,Doc viral load >=200        00      9,09-09-2025
G9242002004,load not performed,,09-09-2025
G9243001003,Documentation of viral load less than 200 copies/ml                             Doc viral load <200         0,Doc viral load <200         00      9,09-09-2025
G9244001003,Antiretroviral thereapy not prescribed                                          Antiviral not ordered       0,Antiviral not ordered       00      9,09-09-2025
G9245001003,Antiretroviral therapy prescribed                                               Antiviral ordered           0,Antiviral ordered           00      9,09-09-2025
G9246001003,Patient did not have two eligible encounters at least 90 days apart or one      No enc or enc/vir ld 90days 0,No enc or enc/vir ld 90days 00      9,09-09-2025
G9246002004,eligible encounter and one hiv viral load test at least 90 days apart,,09-09-2025
G9247001003,Patient had two eligible encounters at least 90 days apart or one eligible      2 enc enc/vir ld 90d        0,2 enc enc/vir ld 90d        00      9,09-09-2025
G9247002004,encounter and one hiv viral load test at least 90 days apart,,09-09-2025
G9248001003,Patient did not have a medical visit in the last 6 months                       No med visit 6mo            0,No med visit 6mo            00      9,09-09-2025
G9249001003,Patient had a medical visit in the last 6 months                                Med visit w in 6mo          0,Med visit w in 6mo          00      9,09-09-2025
G9250001003,Documentation of patient pain brought to a comfortable level within 48 hours    Doc of pain comfort 48hr    0,Doc of pain comfort 48hr    00      9,09-09-2025
G9250002004,from initial assessment,,09-09-2025
G9251001003,Documentation of patient with pain not brought to a comfortable level within 48 Doc no pain comfort 48hr    0,Doc no pain comfort 48hr    00      9,09-09-2025
G9251002004,hours from initial assessment,,09-09-2025
G9252001003,Adenoma(s) or other neoplasm detected during screening colonoscopy              Neo detect scrn colo        0,Neo detect scrn colo        00      9,09-09-2025
G9253001003,Adenoma(s) or other neoplasm not detected during screening colonoscopy          No neo detect scrn colo     0,No neo detect scrn colo     00      9,09-09-2025
G9254001003,Documentation of patient discharged to home later than post-operative day 2     Doc pt dischg >2d           0,Doc pt dischg >2d           00      9,09-09-2025
G9254002004,following cea or cas,,09-09-2025
G9255001003,Documentation of patient discharged to home no later than post operative day 2  Pt dc home 2nd po day       0,Pt dc home 2nd po day       00      9,09-09-2025
G9255002004,following cea or cas,,09-09-2025
G9256001003,Documentation of patient death following cas                                    Doc of pat death after cas  0,Doc of pat death after cas  00      9,09-09-2025
G9257001003,Documentation of patient stroke following cas                                   Doc of pat stroke after cas 0,Doc of pat stroke after cas 00      9,09-09-2025
G9258001003,Documentation of patient stroke following cea                                   Doc of pat stroke after cea 0,Doc of pat stroke after cea 00      9,09-09-2025
G9259001003,Documentation of patient survival and absence of stroke following cas           Survive/no stroke post cas  0,Survive/no stroke post cas  00      9,09-09-2025
G9260001003,Documentation of patient death following cea                                    Doc of pat death after cea  0,Doc of pat death after cea  00      9,09-09-2025
G9261001003,Documentation of patient survival and absence of stroke following cea           Survive/no stroke post cea  0,Survive/no stroke post cea  00      9,09-09-2025
G9262001003,Documentation of patient death in the hospital following endovascular aaa repairDoc of death post-aaa repair0,rDoc of death post-aaa repair00      9,09-09-2025
G9263001003,Documentation of patient discharged alive following endovascular aaa repair     Doc of disch post-aaa repair0,Doc of disch post-aaa repair00      9,09-09-2025
G9264001003,Documentation of patient receiving maintenance hemodialysis for greater than or Doc rsn hemod w/cath >=90d  0,Doc rsn hemod w/cath >=90d  00      9,09-09-2025
G9264002004,"equal to 90 days with a catheter for documented reasons (e.g., other medical",,09-09-2025
G9264003004,"reasons, patient declined arteriovenous fistula (avf)/arteriovenous graft",,09-09-2025
G9264004004,"(avg), other patient reasons)",,09-09-2025
G9265001003,Patient receiving maintenance hemodialysis for greater than or equal to 90 days Doc cath >90d for maint dia 0,Doc cath >90d for maint dia 00      9,09-09-2025
G9265002004,with a catheter as the mode of vascular access,,09-09-2025
G9266001003,Patient receiving maintenance hemodialysis for greater than or equal to 90 days Norsn pt cath >=90d         0,Norsn pt cath >=90d         00      9,09-09-2025
G9266002004,without a catheter as the mode of vascular access,,09-09-2025
G9267001003,Documentation of patient with one or more complications or mortality within 30  Doc comp or mort w in 30d   0,Doc comp or mort w in 30d   00      9,09-09-2025
G9267002004,days,,09-09-2025
G9268001003,Documentation of patient with one or more complications within 90 days          Doc comp or mort w in 90d   0,Doc comp or mort w in 90d   00      9,09-09-2025
G9269001003,Documentation of patient without one or more complications and without          Doc no comp or mort w in 30d0,Doc no comp or mort w in 30d00      9,09-09-2025
G9269002004,mortality within 30 days,,09-09-2025
G9270001003,Documentation of patient without one or more complications within 90 days       Doc no comp or mort w in 90d0,Doc no comp or mort w in 90d00      9,09-09-2025
G9271001003,Ldl value < 100                                                                 Ldl under 100               0,Ldl under 100               00      9,09-09-2025
G9272001003,Ldl value >= 100                                                                Ldl 100 and over            0,Ldl 100 and over            00      9,09-09-2025
G9273001003,Blood pressure has a systolic value of < 140 and a diastolic value of < 90      Sys<140 and dia<90          0,Sys<140 and dia<90          00      9,09-09-2025
G9274001003,Blood pressure has a systolic value of =140 and a diastolic value of = 90 or    Bp out of nrml limits       0,Bp out of nrml limits       00      9,09-09-2025
G9274002004,systolic value < 140 and diastolic value = 90 or systolic value = 140 and,,09-09-2025
G9274003004,diastolic value < 90,,09-09-2025
G9275001003,Documentation that patient is a current non-tobacco user                        Doc of non tobacco user     0,Doc of non tobacco user     00      9,09-09-2025
G9276001003,Documentation that patient is a current tobacco user                            Doc of tobacco user         0,Doc of tobacco user         00      9,09-09-2025
G9277001003,Documentation that the patient is on daily aspirin or anti-platelet or has      Doc daily aspirin or contra 0,Doc daily aspirin or contra 00      9,09-09-2025
G9277002004,documentation of a valid contraindication or exception to,,09-09-2025
G9277003004,"aspirin/anti-platelet; contraindications/exceptions include anti-coagulant use,",,09-09-2025
G9277004004,"allergy to aspirin or anti-platelets, history of gastrointestinal bleed and",,09-09-2025
G9277005004,"bleeding disorder; additionally, the following exceptions documented by the",,09-09-2025
G9277006004,physician as a reason for not taking daily aspirin or anti-platelet are,,09-09-2025
G9277007004,"acceptable (use of non-steroidal anti-inflammatory agents, documented risk for",,09-09-2025
G9277008004,"drug interaction, uncontrolled hypertension defined as >180 systolic or >110",,09-09-2025
G9277009004,diastolic or gastroesophageal reflux),,09-09-2025
G9278001003,Documentation that the patient is not on daily aspirin or anti-platelet regimen Doc no daily aspirin        0,Doc no daily aspirin        00      9,09-09-2025
G9279001003,Pneumococcal screening performed and documentation of vaccination received      Pne scrn done doc vac done  0,Pne scrn done doc vac done  00      9,09-09-2025
G9279002004,prior to discharge,,09-09-2025
G9280001003,"Pneumococcal vaccination not administered prior to discharge, reason not        Pne not given norsn         0",Pne not given norsn         00      9,09-09-2025
G9280002004,specified,,09-09-2025
G9281001003,Screening performed and documentation that vaccination not indicated/patient    Pne scrn done doc not ind   0,Pne scrn done doc not ind   00      9,09-09-2025
G9281002004,refusal,,09-09-2025
G9282001003,Documentation of medical reason(s) for not reporting the histological type or   Doc medrsn no histo type    0,Doc medrsn no histo type    00      9,09-09-2025
G9282002004,"nsclc-nos classification with an explanation (e.g., biopsy taken for other",,09-09-2025
G9282003004,purposes in a patient with a history of non-small cell lung cancer or other,,09-09-2025
G9282004004,documented medical reasons),,09-09-2025
G9283001003,Non small cell lung cancer biopsy and cytology specimen report documents        Hist type doc on report     0,Hist type doc on report     00      9,09-09-2025
G9283002004,classification into specific histologic type or classified as nsclc-nos with an,,09-09-2025
G9283003004,explanation,,09-09-2025
G9284001003,Non small cell lung cancer biopsy and cytology specimen report does not         No hist type doc on report  0,No hist type doc on report  00      9,09-09-2025
G9284002004,document classification into specific histologic type or classified as,,09-09-2025
G9284003004,nsclc-nos with an explanation,,09-09-2025
G9285001003,Specimen site other than anatomic location of lung or is not classified as non  Site not small cell lung ca 0,Site not small cell lung ca 00      9,09-09-2025
G9285002004,small cell lung cancer,,09-09-2025
G9286001003,Antibiotic regimen prescribed within 10 days after onset of symptoms            Antibio rx w in 10d of sympt0,Antibio rx w in 10d of sympt00      9,09-09-2025
G9287001003,Antibiotic regimen not prescribed within 10 days after onset of symptoms        No antibio w in 10d of sympt0,No antibio w in 10d of sympt00      9,09-09-2025
G9288001003,Documentation of medical reason(s) for not reporting the histological type or   Doc medrsn no hist type rpt 0,Doc medrsn no hist type rpt 00      9,09-09-2025
G9288002004,"nsclc-nos classification with an explanation (e.g., a solitary fibrous tumor in",,09-09-2025
G9288003004,a person with a history of non-small cell carcinoma or other documented medical,,09-09-2025
G9288004004,reasons),,09-09-2025
G9289001003,Non small cell lung cancer biopsy and cytology specimen report documents        Doc type nsm lung ca        0,Doc type nsm lung ca        00      9,09-09-2025
G9289002004,classification into specific histologic type or classified as nsclc-nos with an,,09-09-2025
G9289003004,explanation,,09-09-2025
G9290001003,Non small cell lung cancer biopsy and cytology specimen report does not         No doc type nsm lung ca     0,No doc type nsm lung ca     00      9,09-09-2025
G9290002004,document classification into specific histologic type or classified as,,09-09-2025
G9290003004,nsclc-nos with an explanation,,09-09-2025
G9291001003,"Specimen site other than anatomic location of lung, is not classified as non    Not nsm lung ca             0",Not nsm lung ca             00      9,09-09-2025
G9291002004,small cell lung cancer or classified as nsclc-nos,,09-09-2025
G9292001003,Documentation of medical reason(s) for not reporting pt category and a          Medrsn no pt category       0,Medrsn no pt category       00      9,09-09-2025
G9292002004,"statement on thickness and ulceration and for pt1, mitotic rate (e.g., negative",,09-09-2025
G9292003004,skin biopsies in a patient with a history of melanoma or other documented,,09-09-2025
G9292004004,medical reasons),,09-09-2025
G9293001003,Pathology report does not include the pt category and a statement on thickness  No pt category on report    0,No pt category on report    00      9,09-09-2025
G9293002004,"and ulceration and for pt1, mitotic rate",,09-09-2025
G9294001003,Pathology report includes the pt category and a statement on thickness and      Pt cat and thck on report   0,Pt cat and thck on report   00      9,09-09-2025
G9294002004,"ulceration and for pt1, mitotic rate",,09-09-2025
G9295001003,Specimen site other than anatomic cutaneous location                            Non cutaneous loc           0,Non cutaneous loc           00      9,09-09-2025
G9296001003,Patients with documented shared decision-making including discussion of         Doc share dec prior proc    0,Doc share dec prior proc    00      9,09-09-2025
G9296002004,"conservative (non-surgical) therapy (e.g., nsaids, analgesics, weight loss,",,09-09-2025
G9296003004,"exercise, injections) prior to the procedure",,09-09-2025
G9297001003,Shared decision-making including discussion of conservative (non-surgical)      No doc share dec prior proc 0,No doc share dec prior proc 00      9,09-09-2025
G9297002004,"therapy (e.g., nsaids, analgesics, weight loss, exercise, injections) prior to",,09-09-2025
G9297003004,"the procedure, not documented, reason not given",,09-09-2025
G9298001003,Patients who are evaluated for venous thromboembolic and cardiovascular risk    Eval risk vte card 30d prior0,Eval risk vte card 30d prior00      9,09-09-2025
G9298002004,"factors within 30 days prior to the procedure (e.g., history of dvt, pe, mi,",,09-09-2025
G9298003004,arrhythmia and stroke),,09-09-2025
G9299001003,Patients who are not evaluated for venous thromboembolic and cardiovascular     No eval risk vte card prior 0,No eval risk vte card prior 00      9,09-09-2025
G9299002004,"risk factors within 30 days prior to the procedure (e.g., history of dvt, pe,",,09-09-2025
G9299003004,"mi, arrhythmia and stroke, reason not given)",,09-09-2025
G9300001003,Documentation of medical reason(s) for not completely infusing the prophylactic Doc medrsn no compl antibio 0,Doc medrsn no compl antibio 00      9,09-09-2025
G9300002004,"antibiotic prior to the inflation of the proximal tourniquet (e.g., a",,09-09-2025
G9300003004,tourniquet was not used),,09-09-2025
G9301001003,Patients who had the prophylactic antibiotic completely infused prior to the    Doc compl inf antibio       0,Doc compl inf antibio       00      9,09-09-2025
G9301002004,inflation of the proximal tourniquet,,09-09-2025
G9302001003,Prophylactic antibiotic not completely infused prior to the inflation of the    Norsn incomp inf antibio    0,Norsn incomp inf antibio    00      9,09-09-2025
G9302002004,"proximal tourniquet, reason not given",,09-09-2025
G9303001003,Operative report does not identify the prosthetic implant specifications        Norsn no pros info op rpt   0,Norsn no pros info op rpt   00      9,09-09-2025
G9303002004,"including the prosthetic implant manufacturer, the brand name of the prosthetic",,09-09-2025
G9303003004,"implant and the size of each prosthetic implant, reason not given",,09-09-2025
G9304001003,Operative report identifies the prosthetic implant specifications including the Pros info op rpt            0,Pros info op rpt            00      9,09-09-2025
G9304002004,"prosthetic implant manufacturer, the brand name of the prosthetic implant and",,09-09-2025
G9304003004,the size of each prosthetic implant,,09-09-2025
G9305001003,Intervention for presence of leak of endoluminal contents through an            No interv req for leak      0,No interv req for leak      00      9,09-09-2025
G9305002004,anastomosis not required,,09-09-2025
G9306001003,Intervention for presence of leak of endoluminal contents through an            Interv req for leak         0,Interv req for leak         00      9,09-09-2025
G9306002004,anastomosis required,,09-09-2025
G9307001003,"No return to the operating room for a surgical procedure, for complications of  No ret for surg w in 30d    0",No ret for surg w in 30d    00      9,09-09-2025
G9307002004,"the principal operative procedure, within 30 days of the principal operative",,09-09-2025
G9307003004,procedure,,09-09-2025
G9308001003,"Unplanned return to the operating room for a surgical procedure, for            Unpl ret or w/compl w/in 30d0",Unpl ret or w/compl w/in 30d00      9,09-09-2025
G9308002004,"complications of the principal operative procedure, within 30 days of the",,09-09-2025
G9308003004,principal operative procedure,,09-09-2025
G9309001003,No unplanned hospital readmission within 30 days of principal procedure         No unplnd hosp readm in 30d 0,No unplnd hosp readm in 30d 00      9,09-09-2025
G9310001003,Unplanned hospital readmission within 30 days of principal procedure            Unplnd hosp readm in 30d    0,Unplnd hosp readm in 30d    00      9,09-09-2025
G9311001003,No surgical site infection                                                      No surg site infection      0,No surg site infection      00      9,09-09-2025
G9312001003,Surgical site infection                                                         Surgical site infection     0,Surgical site infection     00      9,09-09-2025
G9313001003,"Amoxicillin, with or without clavulanate, not prescribed as first line          Amoxic not presc as 1st line0",Amoxic not presc as 1st line00      9,09-09-2025
G9313002004,antibiotic at the time of diagnosis for documented reason,,09-09-2025
G9314001003,"Amoxicillin, with or without clavulanate, not prescribed as first line          Norsn not first line amox   0",Norsn not first line amox   00      9,09-09-2025
G9314002004,"antibiotic at the time of diagnosis, reason not given",,09-09-2025
G9315001003,"Amoxicillin, with or without clavulanate, prescribed as a first line antibiotic Amox w/wo clav rx           0",Amox w/wo clav rx           00      9,09-09-2025
G9315002004,at the time of diagnosis,,09-09-2025
G9316001003,Documentation of patient-specific risk assessment with a risk calculator based  Doc comm risk calc          0,Doc comm risk calc          00      9,09-09-2025
G9316002004,"on multi-institutional clinical data, the specific risk calculator used, and",,09-09-2025
G9316003004,communication of risk assessment from risk calculator with the patient or family,y,09-09-2025
G9317001003,Documentation of patient-specific risk assessment with a risk calculator based  No doc comm risk calc       0,No doc comm risk calc       00      9,09-09-2025
G9317002004,"on multi-institutional clinical data, the specific risk calculator used, and",,09-09-2025
G9317003004,communication of risk assessment from risk calculator with the patient or,,09-09-2025
G9317004004,family not completed,,09-09-2025
G9318001003,Imaging study named according to standardized nomenclature                      Image std nomenclature      0,Image std nomenclature      00      9,09-09-2025
G9319001003,"Imaging study not named according to standardized nomenclature, reason not givenImage not std nomenclature  0",nImage not std nomenclature  00      9,09-09-2025
G9320001003,Documentation of medical reason(s) for not naming ct studies according to a     Medrsn no std nomenclature  0,Medrsn no std nomenclature  00      9,09-09-2025
G9320002004,"standardized nomenclature provided (eg, ct studies performed for radiation",,09-09-2025
G9320003004,treatment planning or image-guided radiation treatment delivery),,09-09-2025
G9321001003,Count of previous ct (any type of ct) and cardiac nuclear medicine (myocardial  Prev ct nuc med cnt doc 12mo0,Prev ct nuc med cnt doc 12mo00      9,09-09-2025
G9321002004,perfusion or infarct avid imaging) studies documented in the 12-month period,,09-09-2025
G9321003004,prior to the current study,,09-09-2025
G9322001003,Count of previous ct and cardiac nuclear medicine (myocardial perfusion or      No cnt ct nuc med doc 12mo  0,No cnt ct nuc med doc 12mo  00      9,09-09-2025
G9322002004,infarct avid imaging) studies not documented in the 12-month period prior to,,09-09-2025
G9322003004,"the current study, reason not given",,09-09-2025
G9323001003,Documentation of medical reason(s) for not counting previous ct and cardiac     Mdrsn no doc cnt of ct      0,Mdrsn no doc cnt of ct      00      9,09-09-2025
G9323002004,"nuclear medicine (myocardial perfusion) studies (eg, ct studies performed for",,09-09-2025
G9323003004,radiation treatment planning or image-guided radiation treatment delivery),,09-09-2025
G9324001003,"All necessary data elements not included, reason not given                      Not all data norsn          0",Not all data norsn          00      9,09-09-2025
G9325001003,Ct studies not reported to a radiation dose index registry due to medical       Medrsn no ct rpt to reg     0,Medrsn no ct rpt to reg     00      9,09-09-2025
G9325002004,"reasons (eg, ct studies performed for radiation treatment planning or",,09-09-2025
G9325003004,image-guided radiation treatment delivery),,09-09-2025
G9326001003,"Ct studies performed not reported to a radiation dose index registry that is    Ct done no rad ds index, nrg0","Ct done no rad ds index, nrg00      9",09-09-2025
G9326002004,"capable of collecting at a minimum all necessary data elements, reason not given",n,09-09-2025
G9327001003,Ct studies performed reported to a radiation dose index registry that is        Ct done rad ds index        0,Ct done rad ds index        00      9,09-09-2025
